Date,Close,High,Low,Open,Volume,Symbol,SMA_20,SMA_50,EMA_20,EMA_50,Rolling_Std,BB_Upper,BB_Lower
2025-01-24,1821.5426025390625,1840.4336089404928,1810.6645792715367,1811.8786496612856,4887027,INFY.NS,1848.2205932617187,1853.734931640625,1837.8488601546094,1842.5426849105595,50.14796685253377,1948.5165269667862,1747.9246595566512
2025-01-27,1769.62890625,1809.4504129219265,1759.9163436470913,1795.6100112127813,7652371,INFY.NS,1844.14130859375,1852.833603515625,1831.3517216875039,1839.683321041518,53.121722652941784,1950.3847538996336,1737.8978632878664
2025-01-28,1777.15625,1809.9361507719636,1772.4456805643415,1777.3990640797924,6999495,INFY.NS,1841.7010314941406,1852.157607421875,1826.1902481934558,1837.2312790398898,55.08550059450134,1951.8720326831433,1731.5300303051379
2025-01-29,1827.1759033203125,1834.36322360914,1787.5972093347696,1791.9678626583263,5145155,INFY.NS,1841.64033203125,1853.5134814453124,1826.2841201102995,1836.8369505802987,55.10160680621999,1951.84354564369,1731.4371184188099
2025-01-30,1806.4881591796875,1832.9548941080284,1790.9966681783667,1819.308813841547,7336056,INFY.NS,1836.88603515625,1854.1972436523438,1824.39879049786,1835.646801897922,53.74359531763918,1944.3732257915285,1729.3988445209716
2025-01-31,1825.7677001953125,1842.910279604707,1817.2205970496625,1817.2205970496625,5820470,INFY.NS,1834.0232666015625,1855.0859448242188,1824.5291628499983,1835.2593861448784,52.67086936262836,1939.365005326819,1728.6815278763058
2025-02-01,1798.1353759765625,1836.2571867836969,1792.9391783431893,1826.2533177597816,1701402,INFY.NS,1829.8225830078125,1854.09720703125,1822.015468862052,1833.803542608866,51.97627197926056,1933.7751269663336,1725.8700390492913
2025-02-03,1809.741943359375,1822.6110895629577,1779.7300994439906,1783.2265984737835,4823228,INFY.NS,1826.542169189453,1853.5843872070313,1820.846561671321,1832.8599504814351,51.013088215044064,1928.568345619541,1724.515992759365
2025-02-04,1844.2215576171875,1856.2650411997824,1821.1056096540208,1834.703198206104,7334787,INFY.NS,1824.874041748047,1853.0919604492187,1823.0727517614037,1833.305503702445,49.786912594742276,1924.4478669375314,1725.3002165585624
2025-02-05,1842.5218505859373,1864.5207114002724,1839.8508957040451,1851.2145472314708,4996744,INFY.NS,1823.890643310547,1852.558740234375,1824.9250468875498,1833.6669290704253,49.20185763430712,1922.294358579161,1725.4869280419327
